trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
155,False,"{'a': 0.5, 'e': 0.8578030932449878}",25,0,-82.47064301660562,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
156,False,"{'a': 0.5, 'e': 0.9992074342602034}",20,0,-171.27912891203857,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
157,False,"{'a': 0.5, 'e': 0.8959709467909631}",30,1,-132.15868205655192,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.5733695234681091}",25,0,-52.801187933825915,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.11038724383904756}",35,18,31.573311288782566,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.37962168297153187}",20,10,-70.95273951891491,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.7766859820216312}",30,4,-93.33145744587205,"{0: 17, 1: 6, 2: 1, 3: 0, 4: 2}",1
162,False,"{'a': 0.5, 'e': 0.9835904648022342}",25,0,-54.23964795472528,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
163,False,"{'a': 0.5, 'e': 0.9496776978825432}",30,0,-9.398054893735132,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.6832507093535931}",20,2,-40.69675432297815,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.24954011797333814}",25,5,21.549647584366355,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.24526659730265726}",20,12,14.366578891304142,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.6800234955873388}",25,7,-96.79751826445363,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 2}",1
168,False,"{'a': 0.5, 'e': 0.9482869255037094}",30,0,-126.9930100831969,"{0: 22, 1: 3, 2: 0, 3: 3, 4: 2}",0
169,False,"{'a': 0.5, 'e': 0.9843766433940419}",20,0,-164.00684157162482,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
170,False,"{'a': 0.5, 'e': 0.7794566276458688}",30,13,-41.47827738838727,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
171,False,"{'a': 0.5, 'e': 0.38369844494974187}",20,3,-72.12602581506562,"{0: 13, 1: 0, 2: 1, 3: 2, 4: 1}",1
172,False,"{'a': 0.5, 'e': 0.10600249902117563}",20,13,13.34165010569286,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.569750334265312}",25,9,-59.03258722569155,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
174,False,"{'a': 0.5, 'e': 0.8940034169437217}",30,3,-134.27627213440175,"{0: 18, 1: 1, 2: 3, 3: 4, 4: 1}",1
