trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1287,False,"{'a': 0.85, 'e': 0.07603378962622012}",20,16,7.901452276722016,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1288,False,"{'a': 0.85, 'e': 0.07588172204696768}",30,21,17.06649487852163,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1289,False,"{'a': 0.85, 'e': 0.07572995860287375}",20,0,27.58847883641077,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1290,False,"{'a': 0.85, 'e': 0.075578498685668}",25,8,6.028383915580625,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
1291,False,"{'a': 0.85, 'e': 0.07542734168829666}",30,17,11.874082210123195,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1292,False,"{'a': 0.85, 'e': 0.07527648700492007}",20,12,0.3505946039772152,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1293,False,"{'a': 0.85, 'e': 0.07512593403091024}",25,13,16.809022738394027,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1294,False,"{'a': 0.85, 'e': 0.07497568216284842}",35,17,30.57628636355944,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1295,False,"{'a': 0.85, 'e': 0.07482573079852271}",35,21,-24.822498383304076,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
1296,False,"{'a': 0.85, 'e': 0.07467607933692567}",20,11,-6.794162655219945,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
1297,False,"{'a': 0.85, 'e': 0.07452672717825182}",20,6,11.39323846387363,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1298,False,"{'a': 0.85, 'e': 0.07437767372389531}",20,6,14.035650313708716,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1299,False,"{'a': 0.85, 'e': 0.07422891837644752}",20,9,21.383871723336576,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1300,False,"{'a': 0.85, 'e': 0.07408046053969462}",25,15,16.15684949576512,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1301,False,"{'a': 0.85, 'e': 0.07393229961861524}",25,13,22.80158769653596,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1302,False,"{'a': 0.85, 'e': 0.07378443501937801}",30,19,25.01154929512858,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1303,False,"{'a': 0.85, 'e': 0.07363686614933924}",25,15,13.339461841159329,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1304,False,"{'a': 0.85, 'e': 0.07348959241704058}",20,12,13.636187297342719,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
